are_you_selfemployed,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_companyorganization,is_your_primary_role_within_your_company_related_to_techit,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employerprovided_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_concerns_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,if_a_mental_health_issue_prompted_you_to_request_a_medical_leave_from_work_asking_for_that_leave_would_be,do_you_think_that_discussing_a_mental_health_disorder_with_your_employer_would_have_negative_consequences,do_you_think_that_discussing_a_physical_health_issue_with_your_employer_would_have_negative_consequences,would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_coworkers,would_you_feel_comfortable_discussing_a_mental_health_disorder_with_your_direct_supervisors,do_you_feel_that_your_employer_takes_mental_health_as_seriously_as_physical_health,have_you_heard_of_or_observed_negative_consequences_for_coworkers_who_have_been_open_about_mental_health_issues_in_your_workplace,do_you_have_medical_coverage_private_insurance_or_stateprovided_which_includes_treatment_of_mental_health_issues,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_disorder,if_you_have_been_diagnosed_or_treated_for_a_mental_health_disorder_do_you_ever_reveal_this_to_clients_or_business_contacts,if_you_have_revealed_a_mental_health_issue_to_a_client_or_business_contact_do_you_believe_this_has_impacted_you_negatively,if_you_have_been_diagnosed_or_treated_for_a_mental_health_disorder_do_you_ever_reveal_this_to_coworkers_or_employees,if_you_have_revealed_a_mental_health_issue_to_a_coworker_or_employee_do_you_believe_this_has_impacted_you_negatively,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,do_you_have_previous_employers,have_your_previous_employers_provided_mental_health_benefits,were_you_aware_of_the_options_for_mental_health_care_provided_by_your_previous_employers,did_your_previous_employers_ever_formally_discuss_mental_health_as_part_of_a_wellness_campaign_or_other_official_communication,did_your_previous_employers_provide_resources_to_learn_more_about_mental_health_issues_and_how_to_seek_help,was_your_anonymity_protected_if_you_chose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_with_previous_employers,do_you_think_that_discussing_a_mental_health_disorder_with_previous_employers_would_have_negative_consequences,do_you_think_that_discussing_a_physical_health_issue_with_previous_employers_would_have_negative_consequences,would_you_have_been_willing_to_discuss_a_mental_health_issue_with_your_previous_coworkers,would_you_have_been_willing_to_discuss_a_mental_health_issue_with_your_direct_supervisors,did_you_feel_that_your_previous_employers_took_mental_health_as_seriously_as_physical_health,did_you_hear_of_or_observe_negative_consequences_for_coworkers_with_mental_health_issues_in_your_previous_workplaces,would_you_be_willing_to_bring_up_a_physical_health_issue_with_a_potential_employer_in_an_interview,why_or_why_not,would_you_bring_up_a_mental_health_issue_with_a_potential_employer_in_an_interview,why_or_why_not1,do_you_feel_that_being_identified_as_a_person_with_a_mental_health_issue_would_hurt_your_career,do_you_think_that_team_memberscoworkers_would_view_you_more_negatively_if_they_knew_you_suffered_from_a_mental_health_issue,how_willing_would_you_be_to_share_with_friends_and_family_that_you_have_a_mental_illness,have_you_observed_or_experienced_an_unsupportive_or_badly_handled_response_to_a_mental_health_issue_in_your_current_or_previous_workplace,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_disorder_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,do_you_have_a_family_history_of_mental_illness,have_you_had_a_mental_health_disorder_in_the_past,do_you_currently_have_a_mental_health_disorder,if_yes_what_conditions_have_you_been_diagnosed_with,if_maybe_what_conditions_do_you_believe_you_have,have_you_been_diagnosed_with_a_mental_health_condition_by_a_medical_professional,if_so_what_conditions_were_you_diagnosed_with,have_you_ever_sought_treatment_for_a_mental_health_issue_from_a_mental_health_professional,if_you_have_a_mental_health_issue_do_you_feel_that_it_interferes_with_your_work_when_being_treated_effectively,if_you_have_a_mental_health_issue_do_you_feel_that_it_interferes_with_your_work_when_not_being_treated_effectively,what_is_your_age,what_is_your_gender,what_country_do_you_live_in,what_us_state_or_territory_do_you_live_in,what_country_do_you_work_in,what_us_state_or_territory_do_you_work_in,which_of_the_following_best_describes_your_work_position,do_you_work_remotely,gender_cleaned,gender_female,gender_male,gender_not specified,gender_other,country_grouped,country_Australia,country_Canada,country_France,country_Germany,country_Ireland,country_Netherlands,country_Other,country_Sweden,country_Switzerland,country_United Kingdom,country_United States,age_group,PCA1,PCA2,cluster
0,26-100,1.0,,Not eligible for coverage / N/A,,0,0,I don't know,Very easy,0.0,0.0,,1.0,I don't know,0.0,,,,,,,,,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,,,,,Maybe,"No, I don't think they would",Somewhat open,No,,0,1.0,0.0,,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",0,Not applicable to me,Not applicable to me,39.0,male,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,male,False,True,False,False,United Kingdom,False,False,False,False,False,False,False,False,False,True,False,35-45,-0.6806009334858749,1.1780440727026964,2
0,6-25,1.0,,No,1,1,1,1,Somewhat easy,0.0,0.0,,1.0,1,0.0,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,,"It would depend on the health issue. If there is a health issue that would not immediately affect my job performance, such as diabetes, I would not bring it up during the interview. If it was something more severe, such as narcolepsy, I might bring it up depending on how controlled it was.",0.0,"While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.","No, I don't think it would","No, I don't think they would",Somewhat open,No,,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,29.0,male,United States,Illinois,United States of America,Illinois,Back-end Developer|Front-end Developer,Never,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,1.2186303461294348,1.8125957046752972,2
0,6-25,1.0,,No,,0,0,I don't know,Neither easy nor difficult,,0.0,,,I don't know,0.0,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,1.0,"They would provable need to know, to Judge if I can do my job or not. ",1.0,"Stigma, mainly. ",Maybe,Maybe,Somewhat open,Maybe/Not sure,1.0,0,,0.0,,,0,,1,Not applicable to me,Not applicable to me,38.0,male,United Kingdom,,United Kingdom,,Back-end Developer,Always,male,False,True,False,False,United Kingdom,False,False,False,False,False,False,False,False,False,True,False,35-45,-1.161585613681366,0.8542045651672131,1
1,,,,,,,,,,,,,,,,1.0,"Yes, I know several","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,1.0,"old back injury, doesn't cause me many issues but occasionally impacts my ability to work at desk ",,would not if I was not 100% sure that the disclosure would not affect my application,"Yes, I think it would",Maybe,Neutral,No,,0,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,43.0,male,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Sometimes,male,False,True,False,False,United Kingdom,False,False,False,False,False,False,False,False,False,True,False,35-45,1.7627768188574053,1.2379193826993393,2
0,6-25,0.0,1.0,Yes,1,0,0,0,Neither easy nor difficult,1.0,,,0.0,0,0.0,,,,,,,,,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,,"Depending on the interview stage and whether I required an accommodation, I would",0.0,I don't know,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",1.0,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Sometimes,43.0,female,United States,Illinois,United States of America,Illinois,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes,female,True,False,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,35-45,2.7318715463141157,-1.2967408680516177,0
0,More than 1000,1.0,,Yes,I am not sure,0,1,1,Somewhat easy,1.0,1.0,,1.0,0,1.0,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,1.0,If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.,,It would depend on the field & what I knew of the employer.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",0.0,0,0.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes|Substance Use Disorder",,0,,1,Not applicable to me,Often,42.0,male,United Kingdom,,United Kingdom,,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer,Sometimes,male,False,True,False,False,United Kingdom,False,False,False,False,False,False,False,False,False,True,False,35-45,0.9738260056867655,-1.5909539513274331,0
0,26-100,1.0,,I don't know,0,0,0,I don't know,Somewhat easy,0.0,0.0,,1.0,1,0.0,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,1.0,I want to gauge their ability to support this issue.,1.0,"I want to gauge their ability to support, understand and empathize with my situation.","Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,0,0.0,0.0,,,0,,0,Not applicable to me,Not applicable to me,30.0,male,United States,Tennessee,United States of America,Tennessee,Back-end Developer,Sometimes,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,-3.3797878587174948,1.4538899154803264,1
0,More than 1000,1.0,,Yes,1,0,1,1,Very easy,0.0,0.0,,1.0,I don't know,0.0,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,0.0,I feel it's irrelevant.,0.0,Same reason.,Maybe,Maybe,Somewhat open,"Yes, I observed",,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Substance Use Disorder",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Substance Use Disorder",1,Sometimes,Often,37.0,female,United States,Virginia,United States of America,Virginia,Dev Evangelist/Advocate|Back-end Developer,Always,female,True,False,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,35-45,1.4053551969762192,1.5361603841572942,2
0,26-100,0.0,1.0,I don't know,0,0,0,I don't know,Very difficult,1.0,1.0,1.0,,0,0.0,,,,,,,,,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,,Makes me a less attractive candidate.,,"Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.",Maybe,"Yes, they do",Somewhat open,"Yes, I observed",0.0,1,1.0,1.0,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,44.0,female,United States,California,United States of America,California,Support|Back-end Developer|One-person shop,Sometimes,female,True,False,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,35-45,2.6904694009602426,-0.4476300874439646,0
1,,,,,,,,,,,,,,,,1.0,I know some,"No, because it doesn't matter",,"Sometimes, if it comes up",No,Yes,1-25%,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,1.0,"Generally speaking, and this isn't always the case, physical health issues don't carry the same stigma as mental ones.",,"It really depends on the person, the employer, and how comfortable I felt discussing the issue.",Maybe,"No, I don't think they would",Very open,No,,1,1.0,1.0,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,30.0,male,United States,Kentucky,United States of America,Kentucky,One-person shop|Front-end Developer|Back-end Developer,Always,male,False,True,False,False,United States,False,False,False,False,False,False,False,False,False,False,True,25-35,1.6727062541422186,1.1904920960570526,2
